,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Lube Oil Tank Temperature,Motor Current Phase A,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 2 Bearing Temperature,Pump Radial Bearing Vibration,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1
33,1300.1658231359374,315795.6761697743,318256.588414809,1744.0777170855902,79.42503950329687,151.5512632584375,0.0,0.0,4232.266253334896,1757.373641522396,931.4564896280904,145.24092871637154,8.929666996570834,3589.898330521007,24.476096755248783,0.310521090597743,226.3849174152604,101.50937394148087
34,1300.4017096194443,328992.5337703993,334071.03079769097,1717.1193128159723,83.56586284909375,155.03659631944444,0.0,0.0,4226.5384829357645,1731.6904116802082,980.7723003079168,146.99924937611112,8.787760087184202,3588.7696627800347,24.63256639275868,0.352104050838368,226.8845589261111,105.32097320817708
35,1300.9882953510416,322057.6388700868,326660.16508032987,1709.5755056366318,74.91800581614584,155.8710267175,0.0,0.0,4227.91183667691,1723.8742459265625,995.6253154560592,144.13374650748264,8.87398011319757,3589.755759480382,24.61578085725,0.3670076052355903,226.9680899092014,98.82883736693576
36,1300.1572591404515,310017.01363164926,313678.5699411285,1744.2673814998263,69.83066479632119,151.697964911875,0.0,0.0,4230.89021150191,1756.9178665182292,933.939851157257,141.54583453680556,9.061136352020313,3590.097356848785,24.776611127472226,0.3120002174902778,226.64479345239585,94.24614331327604
37,1300.2996245588542,315427.1506487847,320071.90277550346,1719.4601534616318,76.70041469339583,154.59756925612848,0.0,0.0,4230.083344114757,1733.0292568663194,978.4803564526388,143.35375278284724,8.804300136271701,3589.9114888411464,24.671870213131943,0.3507907927574653,226.19101399317708,99.03770176286632
38,1299.9727311467016,309216.7169359201,313626.1727408333,1753.7752516932292,65.05089114369791,150.23203614284722,0.0,0.0,4236.379310538889,1766.0862380399303,914.54548964125,142.7660731024479,8.999311218822223,3589.860160135764,24.61336279318472,0.2947590080729166,227.47235818190973,92.66246051793404
39,1299.987902135243,318509.7381811111,321776.4354737326,1744.5581907751737,68.99487685166666,151.33123126833334,0.0,0.0,4237.547895395834,1757.6455512390623,931.4332566898784,142.86422648166666,8.966143434501562,3590.314860961285,24.74048677617535,0.3089449042861111,227.8758814311458,93.94464433059376
40,1299.9943413043402,328000.47363100696,330784.6393047743,1734.724424174132,73.65933710868578,152.64692202145835,0.0,0.0,4234.757348900868,1748.9710366381944,948.77457267092,143.75566051796875,8.948716868127084,3589.4827343435763,24.70474510525,0.3235645908442708,227.5916269702257,97.35585495765798
41,1300.2539066815973,332510.361076684,336850.9531719965,1714.8688760763887,80.59474944284895,155.0235411696875,0.0,0.0,4233.528984679688,1729.817477165625,984.479369342066,145.05766396534722,8.789369211171701,3588.995847136458,24.62029786409028,0.3565893477430555,226.94358444217016,101.52902231819618
42,1300.656641666493,335081.2542241493,339509.09305890626,1724.9716861762151,74.3740581075625,153.43576678677084,0.0,0.0,4243.918363966667,1740.0355866213542,966.0900901276564,143.32658455916666,9.02996085351823,3588.869462572396,24.667442094953124,0.3404686088404514,227.16457139131947,97.73691473519098
